  Transition        f           A          Lam(A)      i-j    Trans. #

15___-30___     2.467E-03   5.498E+01   2.735E+05     15- 30    330
16___-17___     3.336E+00   4.717E+03   2.044E+06     16- 17    331
16___-18___     4.995E-01   2.128E+03   1.112E+06     16- 18    332
16___-19___     1.657E-01   1.217E+03   8.023E+05     16- 19    333
16___-20___     7.644E-02   7.763E+02   6.482E+05     16- 20    334
16___-21___     4.258E-02   5.325E+02   5.563E+05     16- 21    335
16___-22___     2.619E-02   3.763E+02   4.954E+05     16- 22    336
16___-23___     1.755E-02   2.769E+02   4.522E+05     16- 23    337
16___-24___     1.244E-02   2.089E+02   4.200E+05     16- 24    338
16___-25___     9.207E-03   1.609E+02   3.952E+05     16- 25    339
16___-26___     7.046E-03   1.261E+02   3.756E+05     16- 26    340
16___-27___     5.539E-03   1.003E+02   3.596E+05     16- 27    341
16___-28___     4.451E-03   8.071E+01   3.465E+05     16- 28    342
16___-29___     3.643E-03   6.569E+01   3.355E+05     16- 29    343
16___-30___     3.028E-03   5.399E+01   3.261E+05     16- 30    344
17___-18___     3.527E+00   3.527E+03   2.439E+06     17- 18    345
17___-19___     5.259E-01   1.609E+03   1.321E+06     17- 19    346
17___-20___     1.738E-01   9.290E+02   9.493E+05     17- 20    347
17___-21___     8.031E-02   6.006E+02   7.643E+05     17- 21    348
17___-22___     4.439E-02   4.133E+02   6.538E+05     17- 22    349
17___-23___     2.727E-02   2.946E+02   5.806E+05     17- 23    350
17___-24___     1.824E-02   2.182E+02   5.287E+05     17- 24    351
17___-25___     1.291E-02   1.658E+02   4.900E+05     17- 25    352
17___-26___     9.544E-03   1.285E+02   4.601E+05     17- 26    353
17___-27___     7.296E-03   1.012E+02   4.365E+05     17- 27    354
17___-28___     5.730E-03   8.089E+01   4.172E+05     17- 28    355
17___-29___     4.601E-03   6.544E+01   4.013E+05     17- 29    356
17___-30___     3.763E-03   5.351E+01   3.880E+05     17- 30    357
18___-19___     3.718E+00   2.679E+03   2.881E+06     18- 19    358
18___-20___     5.523E-01   1.234E+03   1.554E+06     18- 20    359
18___-21___     1.824E-01   7.209E+02   1.113E+06     18- 21    360
18___-22___     8.380E-02   4.686E+02   8.934E+05     18- 22    361
18___-23___     4.620E-02   3.248E+02   7.621E+05     18- 23    362
18___-24___     2.835E-02   2.333E+02   6.750E+05     18- 24    363
18___-25___     1.893E-02   1.739E+02   6.132E+05     18- 25    364
18___-26___     1.338E-02   1.329E+02   5.672E+05     18- 26    365
18___-27___     9.878E-03   1.036E+02   5.316E+05     18- 27    366
18___-28___     7.543E-03   8.203E+01   5.033E+05     18- 28    367
18___-29___     5.919E-03   6.587E+01   4.804E+05     18- 29    368
18___-30___     4.749E-03   5.353E+01   4.615E+05     18- 30    369
19___-20___     3.909E+00   2.065E+03   3.375E+06     19- 20    370
19___-21___     5.793E-01   9.608E+02   1.814E+06     19- 21    371
19___-22___     1.905E-01   5.649E+02   1.295E+06     19- 22    372
19___-23___     8.729E-02   3.699E+02   1.036E+06     19- 23    373
19___-24___     4.801E-02   2.581E+02   8.816E+05     19- 24    374
19___-25___     2.964E-02   1.881E+02   7.790E+05     19- 25    375
19___-26___     1.961E-02   1.400E+02   7.062E+05     19- 26    376
19___-27___     1.385E-02   1.076E+02   6.519E+05     19- 27    377
19___-28___     1.021E-02   8.426E+01   6.099E+05     19- 28    378
19___-29___     7.789E-03   6.706E+01   5.765E+05     19- 29    379
19___-30___     6.107E-03   5.409E+01   5.494E+05     19- 30    380
